games,total_loss,maia_loss,side_loss,value_loss
60000,5.5420,4.6430,0.1050,0.7950
120000,3.6450,2.8630,0.0420,0.7400
180000,3.2540,2.4920,0.0300,0.7320
240000,3.0570,2.3070,0.0240,0.7250
300000,2.9300,2.1880,0.0200,0.7220
360000,2.8400,2.1040,0.0170,0.7190
420000,2.7710,2.0380,0.0150,0.7190
480000,2.7790,2.0260,0.0140,0.7390
540000,2.9770,2.1400,0.0140,0.8240
600000,2.9330,2.0970,0.0130,0.8240
660000,2.9070,2.0710,0.0120,0.8240
720000,2.8810,2.0490,0.0110,0.8210
721950,2.8600,2.0320,0.0110,0.8170
961950,2.8370,2.0050,0.0100,0.8210
1,2.7630,1.9480,0.0090,0.8060
1,2.5050,1.7860,0.0080,0.7120
1,2.4730,1.7530,0.0070,0.7130
1,2.4850,1.7580,0.0070,0.7210
1,2.6970,1.8770,0.0070,0.8130
2,2.6730,1.8540,0.0060,0.8130
2,2.6490,1.8490,0.0060,0.7940
2,2.5800,1.7990,0.0060,0.7750
2,2.3880,1.6790,0.0060,0.7030
2,2.3730,1.6630,0.0050,0.7050
2,2.6830,1.8490,0.0060,0.8280
3,2.6320,1.8180,0.0060,0.8090
3,2.6170,1.8060,0.0050,0.8060
3,2.5990,1.7900,0.0050,0.8030
3,2.5990,1.7840,0.0050,0.8100
3,2.3880,1.6610,0.0050,0.7230
4,2.3210,1.6130,0.0050,0.7040
4,2.5680,1.7620,0.0050,0.8010
4,2.5570,1.7650,0.0050,0.7870
4,2.5680,1.7590,0.0050,0.8040
4,2.4960,1.7160,0.0050,0.7760
5,2.3110,1.6040,0.0050,0.7020
5,2.3240,1.6050,0.0050,0.7130
5,2.3160,1.6040,0.0050,0.7070
5,2.5720,1.7610,0.0050,0.8060
5,2.5600,1.7520,0.0050,0.8030
5,2.5450,1.7470,0.0050,0.7930
6,2.5550,1.7480,0.0050,0.8030
6,2.3240,1.6040,0.0050,0.7150
6,2.2750,1.5710,0.0050,0.6990
6,2.2560,1.5630,0.0050,0.6890
6,2.5210,1.7200,0.0050,0.7960
6,2.5330,1.7250,0.0050,0.8030
