games,total_loss,maia_loss,side_loss,value_loss
240000,3.8560,3.0560,0.0500,0.7490
480000,2.8340,2.0920,0.0160,0.7260
720000,2.9340,2.0970,0.0130,0.8250
960000,2.8440,2.0120,0.0100,0.8220
1200000,2.7710,1.9540,0.0090,0.8080
1290000,2.5370,1.8160,0.0080,0.7140
1530000,2.4870,1.7690,0.0070,0.7100
1770000,2.5610,1.8020,0.0070,0.7520
2010000,2.6920,1.8730,0.0070,0.8120
2250000,2.6730,1.8540,0.0060,0.8120
2490000,2.4940,1.7490,0.0060,0.7390
2570000,2.3900,1.6830,0.0060,0.7010
2810000,2.3760,1.6670,0.0060,0.7040
3050000,2.5440,1.7680,0.0060,0.7710
3290000,2.6280,1.8150,0.0060,0.8070
3530000,2.6090,1.7980,0.0050,0.8050
3770000,2.4730,1.7140,0.0050,0.7530
3860000,2.3330,1.6270,0.0050,0.7010
4100000,2.3250,1.6160,0.0050,0.7040
4340000,2.5810,1.7710,0.0050,0.8050
4580000,2.5730,1.7630,0.0050,0.8050
4820000,2.4950,1.7170,0.0050,0.7740
5060000,2.3150,1.6070,0.0050,0.7030
5140000,2.3020,1.5990,0.0050,0.6980
5380000,2.4020,1.6580,0.0050,0.7390
5620000,2.5710,1.7610,0.0050,0.8050
5860000,2.5630,1.7540,0.0050,0.8050
6100000,2.4980,1.7150,0.0050,0.7790
6340000,2.2850,1.5810,0.0050,0.7000
6430000,2.2790,1.5730,0.0050,0.7020
6670000,2.4260,1.6640,0.0050,0.7570
6910000,2.5390,1.7300,0.0050,0.8040
7150000,2.5340,1.7270,0.0050,0.8030
7390000,2.3330,1.6060,0.0050,0.7220
7630000,2.2660,1.5640,0.0050,0.6980
7710000,2.3180,1.5830,0.0050,0.7310
7950000,2.5170,1.6640,0.0050,0.8480
8190000,2.5080,1.6580,0.0040,0.8450
8430000,2.2750,1.5670,0.0050,0.7040
8670000,2.2620,1.5590,0.0040,0.6990
8910000,2.5090,1.6590,0.0040,0.8460
9000000,2.4980,1.6520,0.0040,0.8420
9240000,2.4990,1.6510,0.0040,0.8440
9480000,2.4940,1.6490,0.0040,0.8400
9720000,2.3430,1.5900,0.0040,0.7480
9960000,2.2520,1.5520,0.0040,0.6950
10200000,2.2990,1.5690,0.0040,0.7260
10280000,2.4990,1.6520,0.0040,0.8430
10520000,2.4900,1.6460,0.0040,0.8400
10760000,2.4870,1.6420,0.0040,0.8410
11000000,2.4830,1.6400,0.0040,0.8390
11240000,2.4000,1.6050,0.0040,0.7900
11480000,2.2370,1.5350,0.0040,0.6980
11570000,2.2300,1.5290,0.0040,0.6960
11810000,2.4120,1.6030,0.0040,0.8050
12050000,2.4750,1.6270,0.0040,0.8440
12290000,2.4710,1.6250,0.0040,0.8420
12530000,2.4270,1.6080,0.0040,0.8140
12770000,2.2440,1.5410,0.0040,0.6980
12850000,2.2340,1.5350,0.0040,0.6950
13090000,2.2920,1.5560,0.0040,0.7310
13330000,2.4780,1.6320,0.0040,0.8420
13570000,2.4710,1.6270,0.0040,0.8400
13810000,2.4690,1.6250,0.0040,0.8400
14050000,2.4550,1.6190,0.0040,0.8320
14140000,2.2320,1.5310,0.0040,0.6960
14380000,2.2240,1.5230,0.0040,0.6970
14620000,2.3140,1.5580,0.0040,0.7520
60000,5.5420,4.6430,0.1050,0.7950
120000,3.6450,2.8630,0.0420,0.7400
180000,3.2540,2.4920,0.0300,0.7320
240000,3.0570,2.3070,0.0240,0.7250
300000,2.9300,2.1880,0.0200,0.7220
360000,2.8400,2.1040,0.0170,0.7190
420000,2.7710,2.0380,0.0150,0.7190
480000,2.7790,2.0260,0.0140,0.7390
540000,2.9770,2.1400,0.0140,0.8240
600000,2.9330,2.0970,0.0130,0.8240
660000,2.9070,2.0710,0.0120,0.8240
720000,2.8810,2.0490,0.0110,0.8210
721950,2.8600,2.0320,0.0110,0.8170
961950,2.8370,2.0050,0.0100,0.8210
1200000,2.7630,1.9480,0.0090,0.8060
1440000,2.5050,1.7860,0.0080,0.7120
1440000,2.4730,1.7530,0.0070,0.7130
1680000,2.4850,1.7580,0.0070,0.7210
1920000,2.6970,1.8770,0.0070,0.8130
2160000,2.6730,1.8540,0.0060,0.8130
2170000,2.6490,1.8490,0.0060,0.7940
2410000,2.5800,1.7990,0.0060,0.7750
2650000,2.3880,1.6790,0.0060,0.7030
2890000,2.3730,1.6630,0.0050,0.7050
2890000,2.6830,1.8490,0.0060,0.8280
3130000,2.6320,1.8180,0.0060,0.8090
3370000,2.6170,1.8060,0.0050,0.8060
3610000,2.5990,1.7900,0.0050,0.8030
3610000,2.5990,1.7840,0.0050,0.8100
3850000,2.3880,1.6610,0.0050,0.7230
4090000,2.3210,1.6130,0.0050,0.7040
4330000,2.5680,1.7620,0.0050,0.8010
4330000,2.5570,1.7650,0.0050,0.7870
4570000,2.5680,1.7590,0.0050,0.8040
4810000,2.4960,1.7160,0.0050,0.7760
5050000,2.3110,1.6040,0.0050,0.7020
5050000,2.3240,1.6050,0.0050,0.7130
5290000,2.3160,1.6040,0.0050,0.7070
5530000,2.5720,1.7610,0.0050,0.8060
5770000,2.5600,1.7520,0.0050,0.8030
5780000,2.5450,1.7470,0.0050,0.7930
6020000,2.5550,1.7480,0.0050,0.8030
6260000,2.3240,1.6040,0.0050,0.7150
6500000,2.2750,1.5710,0.0050,0.6990
6500000,2.2560,1.5630,0.0050,0.6890
6740000,2.5210,1.7200,0.0050,0.7960
6980000,2.5330,1.7250,0.0050,0.8030
